angles_pos_neutral,angles_pos_neg,angles_neg_neutral
0.27269542,0.35922766,0.3856581
0.4397701,0.37555525,0.48500088
0.4397701,0.4152847,0.4314524
0.4397701,0.39353102,0.3975299
0.4397701,0.3404271,0.4546319
0.42199296,0.41771716,0.46909884
0.48406255,0.43958214,0.46909884
0.47436637,0.5021582,0.46909884
0.4107169,0.37555525,0.46909884
0.26394033,0.37797934,0.18995592
0.34993774,0.45406818,0.18995592
0.30090666,0.40992922,0.18995592
0.31738245,0.4152847,0.18995592
0.4270857,0.33684704,0.4489147
0.48914176,0.38084424,0.4489147
0.45433992,0.3325262,0.4489147
0.34723252,0.39353102,0.4489147
0.41244927,0.39308554,0.38036406
0.4801325,0.46383342,0.38036406
0.44668365,0.35922766,0.38036406
0.29730552,0.3404271,0.38036406
0.29044753,0.6548691,0.6139418
0.29044753,0.6113057,0.5276481
0.29044753,0.63601375,0.56000066
0.34618032,0.6189327,0.5548092
0.34618032,0.5228502,0.53988755
0.34618032,0.5420022,0.533257
0.45832348,0.67679167,0.691542
0.45832348,0.60162294,0.64883447
0.45832348,0.41978738,0.6838546
0.5510097,0.6548691,0.51999855
0.38537705,0.6189327,0.51999855
0.45835128,0.67679167,0.51999855
0.607231,0.6113057,0.5497942
0.4113704,0.5228502,0.5497942
0.4084752,0.60162294,0.5497942
0.5441582,0.63601375,0.5033325
0.5938481,0.5420022,0.5033325
0.6819488,0.41978738,0.5033325
0.4671732,0.49364942,0.39214426
0.4671732,0.6372497,0.46110505
0.4671732,0.591237,0.28369144
0.4671732,0.56856394,0.5080768
0.3130046,0.50293326,0.5326554
0.3130046,0.6156232,0.66314536
0.3130046,0.57249504,0.49446827
0.3130046,0.5429623,0.5865027
0.4270043,0.53330594,0.5405528
0.4270043,0.72127676,0.57760036
0.4270043,0.536502,0.48700973
0.4270043,0.64555913,0.5101451
0.35539716,0.4875481,0.37515768
0.35539716,0.5711229,0.4535858
0.35539716,0.5873647,0.3739272
0.35539716,0.5220887,0.39842027
0.46323574,0.49364942,0.49349287
0.4623744,0.50293326,0.49349287
0.44384503,0.53330594,0.49349287
0.5524515,0.4875481,0.49349287
0.4250913,0.6372497,0.36312586
0.4269461,0.6156232,0.36312586
0.4069157,0.72127676,0.36312586
0.4384792,0.5711229,0.36312586
0.39493912,0.591237,0.37876338
0.40198386,0.57249504,0.37876338
0.3797037,0.536502,0.37876338
0.4154044,0.5873647,0.37876338
0.49082673,0.56856394,0.56665057
0.48727158,0.5429623,0.56665057
0.48723176,0.64555913,0.56665057
0.51457953,0.5220887,0.56665057
0.2785408,0.40508205,0.5240684
0.2785408,0.4523375,0.35886663
0.2785408,0.51712126,0.4365437
0.2785408,0.44105446,0.46189633
0.23033392,0.4193153,0.48410714
0.23033392,0.3798003,0.43107787
0.23033392,0.46892643,0.5053936
0.23033392,0.3347631,0.3983051
0.45384562,0.60771286,0.42111337
0.45384562,0.34779963,0.4240417
0.45384562,0.37181136,0.4955355
0.45384562,0.48055845,0.40459663
0.33367634,0.46333152,0.39531028
0.33367634,0.45094755,0.49247718
0.33367634,0.45124748,0.56396794
0.33367634,0.4173047,0.39467818
0.42731482,0.40508205,0.19786605
0.35392725,0.4193153,0.19786605
0.6245167,0.60771286,0.19786605
0.418975,0.46333152,0.19786605
0.4890148,0.4523375,0.5483037
0.3789121,0.3798003,0.5483037
0.6403111,0.34779963,0.5483037
0.44613212,0.45094755,0.5483037
0.5297224,0.51712126,0.45161492
