GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
B200,Qwen2.5-14B,128,1.33e+02,2.83,2.08,2.03,1.94,1.72,1.61,1.83,1.62
B200,Qwen2.5-14B,256,2.32e+02,3.88,3.04,2.94,2.81,2.42,2.30,2.57,2.28
B200,Qwen2.5-14B,512,3.82e+02,4.53,3.57,3.46,3.27,2.87,2.70,3.00,2.69
B200,Qwen2.5-14B,1024,6.72e+02,5.10,3.73,3.62,3.43,2.91,2.67,3.17,2.83
B200,Qwen2.5-14B,2048,1.25e+03,5.49,4.14,3.90,3.71,3.20,2.99,3.40,3.00
B200,Qwen2.5-14B,4096,2.46e+03,6.19,4.41,4.06,3.89,3.35,3.15,3.55,3.14
B200,Qwen2.5-14B,8192,4.86e+03,6.35,4.47,4.21,3.92,3.46,3.19,3.51,3.12
B200,Qwen2.5-14B,16384,9.89e+03,6.38,4.43,4.19,3.95,3.46,3.22,3.59,3.16
RTX5080,Llama3.2-1B,64,6.94e+01,1.41,1.17,1.02,0.91,0.90,0.94,0.94,0.85
RTX5080,Llama3.2-1B,128,8.52e+01,1.54,1.26,1.12,1.04,0.98,1.03,1.02,0.92
RTX5080,Llama3.2-1B,256,1.17e+02,1.55,1.19,1.08,0.97,0.86,0.91,0.97,0.89
RTX5080,Llama3.2-1B,512,2.13e+02,1.71,1.35,1.22,1.06,0.99,1.03,1.07,0.97
RTX5080,Llama3.2-1B,1024,3.88e+02,1.68,1.31,1.16,1.02,0.94,0.99,1.03,0.92
RTX5080,Llama3.2-1B,2048,7.07e+02,1.62,1.24,1.11,0.97,0.90,0.94,0.96,0.86
RTX5080,Llama3.2-1B,4096,1.34e+03,1.62,1.24,1.10,0.97,0.89,0.93,0.96,0.85
RTX5080,Llama3.2-1B,8192,2.58e+03,1.57,1.19,1.08,0.95,0.88,0.92,0.95,0.84
RTX5080,Llama3.2-1B,16384,5.10e+03,1.55,1.17,1.07,0.94,0.87,0.91,0.93,0.83
RTX5080,BitNet-2B,64,7.19e+01,1.46,1.07,1.06,1.00,0.95,0.92,0.92,0.81
RTX5080,BitNet-2B,128,8.21e+01,1.43,1.00,1.03,0.98,0.93,0.89,0.90,0.80
RTX5080,BitNet-2B,256,1.27e+02,1.59,1.11,1.09,1.10,1.01,0.94,0.97,0.90
RTX5080,BitNet-2B,512,2.12e+02,1.54,1.11,1.05,1.04,0.97,0.94,0.95,0.85
RTX5080,BitNet-2B,1024,4.15e+02,1.70,1.21,1.17,1.13,1.07,1.02,1.03,0.91
RTX5080,BitNet-2B,2048,7.61e+02,1.62,1.14,1.10,1.06,1.00,0.95,0.97,0.86
RTX5080,BitNet-2B,4096,1.37e+03,1.49,1.05,1.01,0.96,0.90,0.87,0.87,0.78
RTX5080,BitNet-2B,8192,2.78e+03,1.51,1.06,1.03,0.97,0.92,0.88,0.88,0.78
RTX5080,BitNet-2B,16384,5.70e+03,1.54,1.09,1.04,1.00,0.94,0.89,0.91,0.80
RTX5080,Llama3.2-3B,64,8.20e+01,1.38,1.14,1.05,1.00,0.92,0.81,0.90,0.80
RTX5080,Llama3.2-3B,128,1.07e+02,1.53,1.24,1.13,1.05,1.00,0.86,0.97,0.86
RTX5080,Llama3.2-3B,256,1.96e+02,1.71,1.40,1.24,1.15,1.12,0.99,1.07,0.95
RTX5080,Llama3.2-3B,512,3.33e+02,1.61,1.25,1.12,1.05,0.99,0.86,0.96,0.84
RTX5080,Llama3.2-3B,1024,5.88e+02,1.63,1.27,1.12,1.04,0.97,0.85,0.96,0.85
RTX5080,Llama3.2-3B,2048,1.10e+03,1.65,1.27,1.13,1.05,0.98,0.87,0.97,0.86
RTX5080,Llama3.2-3B,4096,2.01e+03,1.51,1.17,1.03,0.98,0.91,0.80,0.90,0.79
RTX5080,Llama3.2-3B,8192,4.07e+03,1.54,1.19,1.05,0.99,0.92,0.82,0.91,0.80
RTX5080,Llama3.2-3B,16384,8.20e+03,1.56,1.21,1.06,1.00,0.93,0.83,0.92,0.81
RTX5080,Qwen2.5-7B,64,2.54e+02,1.58,1.21,1.07,0.97,0.95,0.85,0.84,0.73
RTX5080,Qwen2.5-7B,128,2.74e+02,1.64,1.25,1.10,0.93,0.90,0.87,0.87,0.75
RTX5080,Qwen2.5-7B,256,3.99e+02,1.71,1.33,1.18,1.08,0.99,1.02,1.01,0.88
RTX5080,Qwen2.5-7B,512,6.82e+02,1.54,1.16,1.03,0.96,0.83,0.87,0.89,0.79
RTX5080,Qwen2.5-7B,1024,1.29e+03,1.64,1.24,1.12,1.03,0.90,0.95,0.96,0.85
RTX5080,Qwen2.5-7B,2048,2.38e+03,1.53,1.16,1.04,0.95,0.83,0.88,0.90,0.79
RTX5080,Qwen2.5-7B,4096,4.70e+03,1.51,1.16,1.03,0.95,0.83,0.88,0.90,0.79
RTX5080,Qwen2.5-7B,8192,9.27e+03,1.49,1.14,1.02,0.95,0.82,0.87,0.89,0.78
RTX5080,Qwen2.5-7B,16384,1.88e+04,1.50,1.16,1.02,0.97,0.84,0.89,0.90,0.80
RTX5080,Qwen2.5-14B,64,2.62e+02,1.62,1.24,1.11,0.91,0.84,0.82,0.81,0.71
RTX5080,Qwen2.5-14B,128,2.98e+02,1.63,1.21,1.09,0.95,0.88,0.85,0.85,0.75
RTX5080,Qwen2.5-14B,256,4.28e+02,1.63,1.24,1.09,1.05,0.90,0.87,0.94,0.83
RTX5080,Qwen2.5-14B,512,7.95e+02,1.72,1.28,1.15,1.10,0.95,0.90,1.01,0.88
RTX5080,Qwen2.5-14B,1024,1.49e+03,1.66,1.25,1.11,1.06,0.93,0.87,0.97,0.86
RTX5080,Qwen2.5-14B,2048,2.69e+03,1.51,1.13,1.00,0.96,0.83,0.79,0.88,0.77
RTX5080,Qwen2.5-14B,4096,5.36e+03,1.50,1.12,0.99,0.94,0.82,0.79,0.88,0.77
RTX5080,Qwen2.5-14B,8192,1.09e+04,1.52,1.15,1.02,0.97,0.84,0.81,0.90,0.79
RTX5080,Qwen2.5-14B,16384,2.18e+04,1.52,1.14,1.02,0.97,0.85,0.81,0.90,0.79
GB10,Llama3.2-1B,64,2.14e+02,2.39,1.31,1.23,0.97,0.88,0.96,1.00,0.82
GB10,Llama3.2-1B,128,2.30e+02,2.22,1.37,1.29,0.83,0.82,0.90,1.00,0.83
GB10,Llama3.2-1B,256,3.38e+02,2.29,1.52,1.54,1.03,1.00,1.04,1.09,1.06
GB10,Llama3.2-1B,512,4.63e+02,1.67,1.18,1.17,0.95,0.91,0.86,0.93,0.85
GB10,Llama3.2-1B,1024,8.19e+02,1.54,1.23,1.08,0.96,0.89,0.95,0.99,0.85
GB10,Llama3.2-1B,2048,1.40e+03,1.39,1.06,0.97,0.81,0.76,0.80,0.76,0.67
GB10,Llama3.2-1B,4096,2.79e+03,1.44,1.03,0.93,0.80,0.76,0.79,0.82,0.73
GB10,Llama3.2-1B,8192,5.43e+03,1.37,1.04,0.92,0.80,0.73,0.76,0.80,0.69
GB10,Llama3.2-1B,16384,1.10e+04,1.36,1.04,0.96,0.81,0.76,0.78,0.81,0.69
GB10,BitNet-2B,64,2.19e+02,2.81,1.13,1.20,1.06,0.75,0.71,0.92,0.84
GB10,BitNet-2B,128,2.47e+02,2.26,1.21,1.26,1.09,0.90,0.74,0.97,0.76
GB10,BitNet-2B,256,3.48e+02,2.13,1.28,1.21,1.14,0.99,0.94,0.95,0.83
GB10,BitNet-2B,512,5.17e+02,1.77,1.11,1.15,1.11,0.96,0.93,0.97,0.83
GB10,BitNet-2B,1024,8.53e+02,1.41,1.07,1.02,0.96,0.95,0.89,0.87,0.76
GB10,BitNet-2B,2048,1.64e+03,1.48,1.06,1.02,0.96,0.92,0.87,0.87,0.77
GB10,BitNet-2B,4096,3.22e+03,1.45,1.01,1.00,0.93,0.87,0.79,0.81,0.73
GB10,BitNet-2B,8192,6.24e+03,1.39,0.99,0.96,0.91,0.86,0.81,0.82,0.73
GB10,BitNet-2B,16384,1.24e+04,1.38,0.98,0.96,0.90,0.84,0.79,0.81,0.72
GB10,Llama3.2-3B,64,3.62e+02,2.41,1.30,1.22,0.91,0.96,0.75,0.99,0.76
GB10,Llama3.2-3B,128,3.90e+02,2.04,1.22,1.09,0.88,0.92,0.78,0.94,0.72
